#{"t_start": 1595253571.1360445, "env_id": "NovelGridworld-v0"}
r,l,t
50,1,329.961141
49,2,329.987126
45,6,330.057086
50,1,330.071079
43,8,330.178017
48,3,330.216007
25,26,330.51982
36,15,330.703714
48,3,330.740695
46,5,330.804674
45,6,330.875616
42,9,330.984552
47,4,331.036521
45,6,331.111479
49,2,331.133466
48,3,331.168446
31,20,331.402311
33,18,331.614188
47,4,331.660162
46,5,331.719128
11,40,332.197853
41,10,332.319782
49,2,332.346767
46,5,332.410729
48,3,332.448708
47,4,332.494681
25,26,332.805502
21,30,333.17229
45,6,333.242251
48,3,333.276233
46,5,333.344203
24,27,333.65901
40,11,333.793932
46,5,333.858894
43,8,333.949842
32,19,334.185709
49,2,334.209695
48,3,334.245673
50,1,334.257666
26,25,334.5655
37,14,334.729396
47,4,334.780367
47,4,334.831333
39,12,334.97925
37,14,335.158145
5,46,335.700834
33,18,335.918707
50,1,335.932699
49,2,335.957684
42,9,336.065622
46,5,336.130597
41,10,336.251515
43,8,336.354457
46,5,336.415421
30,21,336.657284
37,14,336.832181
49,2,336.857166
47,4,336.905138
45,6,336.980097
49,2,337.009079
49,2,337.036065
43,8,337.132008
46,5,337.194972
29,22,337.455824
48,3,337.489805
35,16,337.675713
46,5,337.737658
41,10,337.85859
39,12,338.006505
48,3,338.04848
44,7,338.14043
49,2,338.166413
50,1,338.181406
47,4,338.22738
44,7,338.30733
37,14,338.475252
39,12,338.62015
48,3,338.659128
45,6,338.734084
33,18,338.936968
45,6,339.013924
21,30,339.375715
48,3,339.410695
17,34,339.81746
49,2,339.844443
43,8,339.936391
37,14,340.109293
30,21,340.365144
41,10,340.488075
49,2,340.515058
-30,81,341.477502
26,25,341.770352
46,5,341.831312
45,6,341.906258
42,9,342.020191
43,8,342.119133
41,10,342.236065
-1,52,342.858708
35,16,343.051597
39,12,343.198511
46,5,343.259476
47,4,343.308447
47,4,343.359418
43,8,343.457362
45,6,343.53132
43,8,343.621267
46,5,343.677247
43,8,343.768182
35,16,343.958074
47,4,344.010044
42,9,344.11898
49,2,344.144965
-16,67,344.925515
47,4,344.972491
29,22,345.230339
26,25,345.518174
48,3,345.553153
48,3,345.588136
41,10,345.708076
47,4,345.758036
46,5,345.820001
37,14,345.985904
48,3,346.022883
43,8,346.115829
42,9,346.220768
38,13,346.384693
44,7,346.470624
44,7,346.553576
41,10,346.670511
47,4,346.719481
39,12,346.8594
29,22,347.12125
49,2,347.144237
41,10,347.25917
47,4,347.306145
50,1,347.320134
48,3,347.359111
48,3,347.393092
44,7,347.478043
27,24,347.758882
49,2,347.783868
50,1,347.79786
46,5,347.855826
26,25,348.15965
35,16,348.341546
50,1,348.35254
29,22,348.61439
50,1,348.625382
31,20,348.870243
44,7,348.957209
47,4,349.004164
49,2,349.031148
36,15,349.218044
42,9,349.325997
39,12,349.470896
31,20,349.706778
30,21,349.966609
45,6,350.042566
-4,55,350.701204
49,2,350.727172
44,7,350.81412
17,34,351.216907
41,10,351.336832
50,1,351.34983
49,2,351.374797
50,1,351.38679
-3,54,352.041413
41,10,352.161344
1,50,352.753003
40,11,352.89692
47,4,352.940894
46,5,353.001861
47,4,353.053829
44,7,353.137781
45,6,353.20874
13,38,353.663479
50,1,353.675472
45,6,353.749429
49,2,353.773415
48,3,353.810394
47,4,353.859365
40,11,353.98729
40,11,354.127211
42,9,354.232151
15,36,354.674894
40,11,354.807819
48,3,354.842798
50,1,354.85579
48,3,354.891773
39,12,355.040687
46,5,355.10065
32,19,355.327523
45,6,355.40148
47,4,355.456445
47,4,355.508415
46,5,355.573376
49,2,355.601362
37,14,355.787253
47,4,355.843221
44,7,355.931171
34,17,356.166035
44,7,356.261981
46,5,356.329942
47,4,356.379913
43,8,356.488849
50,1,356.50384
35,16,356.719718
36,15,356.9206
-98,149,358.722564
32,19,358.942453
46,5,359.003419
39,12,359.148316
50,1,359.159309
49,2,359.183296
44,7,359.267251
49,2,359.291235
43,8,359.387197
41,10,359.510109
46,5,359.570073
42,9,359.678023
50,1,359.692021
49,2,359.715993
50,1,359.728994
42,9,359.835921
49,2,359.860919
44,7,359.942858
49,2,359.966846
48,3,360.003822
38,13,360.163731
-23,74,361.048222
29,22,361.307072
49,2,361.333057
41,10,361.455986
46,5,361.518951
37,14,361.682855
48,3,361.718834
42,9,361.825773
47,4,361.871747
42,9,361.978685
37,14,362.149588
42,9,362.251527
44,7,362.336479
41,10,362.464405
38,13,362.623313
40,11,362.751257
40,11,362.886162
35,16,363.087045
42,9,363.202979
37,14,363.361887
45,6,363.431848
49,2,363.455836
46,5,363.525805
34,17,363.725678
46,5,363.790642
49,2,363.816625
34,17,364.01851
47,4,364.06848
18,33,364.466251
40,11,364.599174
49,2,364.621165
35,16,364.816061
42,9,364.925005
49,2,364.948984
48,3,364.982955
40,11,365.123891
50,1,365.137865
44,7,365.227812
50,1,365.239805
48,3,365.274784
48,3,365.31776
37,14,365.489661
42,9,365.596599
50,1,365.609592
46,5,365.669557
44,7,365.75051
45,6,365.825468
43,8,365.92341
34,17,366.13629
46,5,366.196255
44,7,366.284203
47,4,366.331175
41,10,366.44811
45,6,366.525063
4,47,367.110731
18,33,367.587452
47,4,367.645418
40,11,367.807325
50,1,367.821318
31,20,368.048186
48,3,368.088164
41,10,368.208095
44,7,368.291047
48,3,368.326045
46,5,368.383993
46,5,368.443963
43,8,368.542904
46,5,368.601866
40,11,368.73479
46,5,368.796754
