#{"t_start": 1595257204.4953346, "env_id": "NovelGridworld-v0"}
r,l,t
48,3,136.071561
32,19,136.256466
44,7,136.330414
47,4,136.36639
47,4,136.405369
45,6,136.468332
49,2,136.486321
49,2,136.503312
40,11,136.609267
32,19,136.779153
38,13,136.896087
46,5,136.948056
48,3,136.986035
47,4,137.029009
47,4,137.067987
36,15,137.205907
40,11,137.307848
50,1,137.321841
49,2,137.342828
42,9,137.424781
33,18,137.589688
43,8,137.664658
49,2,137.686642
48,3,137.717614
47,4,137.754602
47,4,137.797566
48,3,137.825553
47,4,137.862529
48,3,137.89451
44,7,137.962487
50,1,137.972465
49,2,137.996468
12,39,138.356259
49,2,138.38023
33,18,138.548149
46,5,138.599105
46,5,138.64408
47,4,138.685054
44,7,138.752016
48,3,138.779002
46,5,138.825973
46,5,138.870958
48,3,138.900929
45,6,138.956898
50,1,138.966892
49,2,138.984883
17,34,139.314691
36,15,139.463605
44,7,139.527571
47,4,139.565549
40,11,139.670486
37,14,139.797413
50,1,139.808408
42,9,139.887361
49,2,139.906351
49,2,139.928339
38,13,140.042273
46,5,140.091244
43,8,140.167201
29,22,140.370083
46,5,140.419055
35,16,140.562972
48,3,140.594953
49,2,140.613943
33,18,140.785846
49,2,140.807833
47,4,140.850822
40,11,140.959743
48,3,140.987727
47,4,141.023707
44,7,141.087671
50,1,141.097679
45,6,141.167639
31,20,141.348519
45,6,141.411494
47,4,141.451459
44,7,141.52042
40,11,141.627369
37,14,141.754285
46,5,141.801258
29,22,141.997146
43,8,142.079098
46,5,142.131069
38,13,142.26699
29,22,142.49286
41,10,142.607793
48,3,142.638776
48,3,142.674755
44,7,142.755708
47,4,142.796684
48,3,142.825671
49,2,142.850653
42,9,142.953594
44,7,143.043542
29,22,143.303393
43,8,143.384347
48,3,143.414329
40,11,143.528263
46,5,143.575235
44,7,143.640198
49,2,143.657189
47,4,143.69117
45,6,143.749135
45,6,143.8141
25,26,144.050972
44,7,144.116923
44,7,144.178889
31,20,144.367779
48,3,144.397763
38,13,144.522689
44,7,144.590651
47,4,144.629628
43,8,144.725573
23,28,145.026402
29,22,145.246274
42,9,145.341233
42,9,145.433166
37,14,145.575082
50,1,145.586079
33,18,145.75399
45,6,145.808948
31,20,145.989843
36,15,146.147752
48,3,146.174739
31,20,146.360645
47,4,146.402605
46,5,146.451578
47,4,146.487572
45,6,146.541528
44,7,146.609487
42,9,146.700434
44,7,146.774391
50,1,146.785384
46,5,146.839353
49,2,146.858344
42,9,146.940295
40,11,147.038254
44,7,147.099215
46,5,147.149174
30,21,147.359055
49,2,147.380044
49,2,147.399042
40,11,147.50497
46,5,147.547945
37,14,147.682868
45,6,147.736836
32,19,147.906739
43,8,147.990706
47,4,148.025671
29,22,148.23455
41,10,148.334491
45,6,148.394458
48,3,148.426455
42,9,148.514388
47,4,148.553366
47,4,148.596343
39,12,148.706278
-11,62,149.280947
48,3,149.314928
45,6,149.373893
46,5,149.43086
47,4,149.476834
44,7,149.553789
48,3,149.592767
29,22,149.802658
37,14,149.933581
41,10,150.025517
25,26,150.261396
48,3,150.287366
48,3,150.31535
46,5,150.361323
42,9,150.455269
16,35,150.804071
49,2,150.82206
11,40,151.180851
38,13,151.302781
48,3,151.338759
40,11,151.457692
48,3,151.486675
47,4,151.537647
48,3,151.570627
48,3,151.603608
49,2,151.622597
50,1,151.632591
50,1,151.643584
37,14,151.787501
44,7,151.855462
37,14,152.008374
25,26,152.267225
45,6,152.326191
24,27,152.618027
48,3,152.647007
47,4,152.69298
32,19,152.888867
39,12,153.015793
47,4,153.058768
48,3,153.09175
46,5,153.145719
40,11,153.257653
50,1,153.267649
45,6,153.322616
42,9,153.405571
49,2,153.424557
46,5,153.478527
49,2,153.498514
44,7,153.562479
48,3,153.595459
34,17,153.755367
36,15,153.888291
47,4,153.923271
47,4,153.958251
48,3,153.984238
38,13,154.116158
45,6,154.170129
44,7,154.234091
40,11,154.339031
49,2,154.35902
47,4,154.397996
47,4,154.444972
47,4,154.483948
47,4,154.520936
41,10,154.61687
50,1,154.624866
50,1,154.634871
47,4,154.669856
47,4,154.709817
36,15,154.846737
48,3,154.872724
48,3,154.900708
33,18,155.089601
41,10,155.190555
35,16,155.353446
47,4,155.396423
41,10,155.500361
37,14,155.651274
42,9,155.747219
49,2,155.768206
47,4,155.805185
49,2,155.824175
45,6,155.88414
28,23,156.130998
49,2,156.155983
48,3,156.194961
43,8,156.274915
42,9,156.363863
48,3,156.390847
48,3,156.420842
46,5,156.474799
21,30,156.758637
48,3,156.787619
44,7,156.85458
7,44,157.314316
16,35,157.655119
35,16,157.804033
34,17,157.956956
39,12,158.069882
43,8,158.149834
45,6,158.210799
49,2,158.228788
50,1,158.239782
48,3,158.270764
40,11,158.391711
50,1,158.405688
47,4,158.451662
47,4,158.494636
46,5,158.543609
34,17,158.71451
41,10,158.808454
43,8,158.88641
46,5,158.940378
36,15,159.082297
45,6,159.135266
32,19,159.311167
42,9,159.392118
42,9,159.486064
49,2,159.507052
49,2,159.52704
43,8,159.608004
38,13,159.733921
50,1,159.743915
50,1,159.753909
47,4,159.788889
46,5,159.833865
46,5,159.87584
48,3,159.901839
44,7,159.968787
42,9,160.055736
44,7,160.125695
50,1,160.137687
46,5,160.183661
43,8,160.25562
47,4,160.2936
47,4,160.332577
49,2,160.350565
41,10,160.446523
38,13,160.574436
42,9,160.656391
50,1,160.666383
42,9,160.750335
41,10,160.842298
45,6,160.899248
40,11,161.002189
40,11,161.104142
47,4,161.148105
41,10,161.242063
50,1,161.251049
41,10,161.348002
41,10,161.443951
45,6,161.496917
45,6,161.553871
37,14,161.6798
44,7,161.752757
47,4,161.801728
47,4,161.840707
39,12,161.961639
46,5,162.010619
41,10,162.123543
46,5,162.174516
43,8,162.249471
47,4,162.288448
47,4,162.325426
42,9,162.403382
43,8,162.486334
42,9,162.583278
48,3,162.613262
47,4,162.649241
49,2,162.66723
46,5,162.712203
41,10,162.804151
43,8,162.883106
47,4,162.921085
42,9,163.007033
49,2,163.027033
39,12,163.141956
36,15,163.276878
39,12,163.383819
