#{"t_start": 1595252445.9527411, "env_id": "NovelGridworld-v0"}
r,l,t
42,9,75.928233
50,1,75.935226
47,4,75.96221
43,8,76.016182
23,28,76.201075
48,3,76.221061
40,11,76.296018
50,1,76.303016
11,40,76.573859
46,5,76.605839
48,3,76.625829
50,1,76.633826
45,6,76.6748
50,1,76.681795
49,2,76.694789
48,3,76.714777
47,4,76.740762
7,44,77.035594
48,3,77.054581
46,5,77.088562
47,4,77.117545
50,1,77.124541
50,1,77.130537
45,6,77.170514
47,4,77.203497
49,2,77.221485
42,9,77.285449
49,2,77.297441
29,22,77.443356
45,6,77.487333
32,19,77.615258
44,7,77.659235
47,4,77.685218
46,5,77.718198
49,2,77.73319
49,2,77.749183
44,7,77.794156
40,11,77.864114
49,2,77.877109
43,8,77.930078
49,2,77.94307
49,2,77.95706
44,7,78.008032
1,50,78.405802
45,6,78.447778
43,8,78.500747
33,18,78.626675
45,6,78.66965
42,9,78.734613
47,4,78.764596
42,9,78.828559
50,1,78.835555
46,5,78.869534
34,17,78.997461
48,3,79.019448
49,2,79.033441
41,10,79.1034
41,10,79.170362
-260,311,81.522006
48,3,81.547992
47,4,81.579972
45,6,81.626947
48,3,81.649932
45,6,81.692907
45,6,81.733884
43,8,81.791851
33,18,81.914779
45,6,81.952758
44,7,81.99973
46,5,82.033711
44,7,82.078685
46,5,82.113664
48,3,82.133654
44,7,82.180626
48,3,82.201614
50,1,82.20761
43,8,82.26158
50,1,82.270575
38,13,82.357525
45,6,82.398501
7,44,82.7463
49,2,82.76329
47,4,82.79827
41,10,82.883221
47,4,82.916203
38,13,83.025139
36,15,83.136075
49,2,83.150067
-9,60,83.559834
44,7,83.607806
48,3,83.627792
45,6,83.667768
44,7,83.716741
49,2,83.729732
43,8,83.782702
50,1,83.790713
50,1,83.796694
46,5,83.829678
47,4,83.856661
46,5,83.889641
-6,57,84.274419
47,4,84.301404
46,5,84.334384
-29,80,84.864079
50,1,84.872074
48,3,84.892062
46,5,84.923045
41,10,84.989009
47,4,85.016991
48,3,85.038979
15,36,85.273842
38,13,85.359793
50,1,85.368788
49,2,85.38278
49,2,85.395775
30,21,85.537691
47,4,85.568673
47,4,85.596658
47,4,85.623642
44,7,85.669615
32,19,85.793543
41,10,85.857506
43,8,85.907479
46,5,85.94146
46,5,85.982435
46,5,86.02441
43,8,86.078379
33,18,86.19731
49,2,86.210319
46,5,86.244299
32,19,86.370211
49,2,86.383204
44,7,86.429177
46,5,86.463159
47,4,86.489146
46,5,86.524123
45,6,86.567098
49,2,86.583091
42,9,86.640057
38,13,86.726008
47,4,86.750991
47,4,86.779977
47,4,86.804963
49,2,86.818953
42,9,86.882915
37,14,86.973863
43,8,87.029831
46,5,87.064811
39,12,87.146764
48,3,87.166753
47,4,87.192739
47,4,87.218723
42,9,87.286682
47,4,87.316668
49,2,87.330659
45,6,87.373633
45,6,87.414609
42,9,87.475575
45,6,87.513553
49,2,87.526546
37,14,87.625487
42,9,87.685453
37,14,87.7774
49,2,87.791391
47,4,87.818378
38,13,87.906327
46,5,87.939308
35,16,88.052241
45,6,88.093219
48,3,88.112206
42,9,88.171174
36,15,88.272115
43,8,88.324085
45,6,88.364062
45,6,88.405039
49,2,88.419033
49,2,88.432022
21,30,88.631907
43,8,88.684877
44,7,88.728853
49,2,88.741844
49,2,88.755836
38,13,88.841786
38,13,88.929736
49,2,88.942727
41,10,89.013688
44,7,89.065658
46,5,89.096639
46,5,89.131621
48,3,89.150608
40,11,89.225564
43,8,89.281533
43,8,89.338499
50,1,89.345496
47,4,89.372481
45,6,89.412457
40,11,89.487414
47,4,89.513398
32,19,89.649321
27,24,89.802232
43,8,89.855204
49,2,89.868194
49,2,89.883187
48,3,89.903174
27,24,90.069079
43,8,90.124047
41,10,90.195005
20,31,90.401889
48,3,90.420876
30,21,90.5548
45,6,90.598773
45,6,90.641748
48,3,90.661737
45,6,90.700714
40,11,90.771673
49,2,90.785666
49,2,90.800658
46,5,90.832638
27,24,90.991549
42,9,91.05651
46,5,91.092491
30,21,91.225416
32,19,91.359334
49,2,91.372328
49,2,91.38832
50,1,91.399312
46,5,91.440288
46,5,91.477267
30,21,91.620186
41,10,91.691144
