#{"t_start": 1595250405.177114, "env_id": "NovelGridworld-v0"}
r,l,t
47,4,269.232798
44,7,269.301759
49,2,269.319748
45,6,269.375717
28,23,269.592591
46,5,269.637566
50,1,269.64656
43,8,269.728513
39,12,269.842447
48,3,269.877427
45,6,269.945387
33,18,270.128283
42,9,270.222228
42,9,270.314174
47,4,270.352153
48,3,270.381136
49,2,270.399126
50,1,270.409121
46,5,270.463089
46,5,270.511061
43,8,270.597012
43,8,270.674968
45,6,270.734932
42,9,270.82688
30,21,271.007775
50,1,271.019768
50,1,271.028764
48,3,271.055748
41,10,271.140698
-6,57,271.679389
49,2,271.697377
32,19,271.894264
38,13,272.017196
50,1,272.027187
-91,142,273.58329
-15,66,274.289883
47,4,274.330861
31,20,274.544738
5,46,274.995478
45,6,275.056442
47,4,275.096418
29,22,275.306298
49,2,275.324286
50,1,275.334281
13,38,275.70007
49,2,275.72006
46,5,275.774029
35,16,275.922942
46,5,275.975911
43,8,276.049869
50,1,276.061863
-28,79,276.927364
47,4,276.96734
44,7,277.040299
37,14,277.171223
47,4,277.208202
32,19,277.383099
48,3,277.411084
48,3,277.439068
-1,52,277.961782
44,7,278.02773
37,14,278.150657
48,3,278.183639
-26,77,278.877238
41,10,278.960191
-153,204,280.812123
47,4,280.844104
48,3,280.871089
47,4,280.903071
45,6,280.955056
49,2,280.974029
45,6,281.025
42,9,281.100957
36,15,281.228883
42,9,281.30484
46,5,281.346816
46,5,281.392788
47,4,281.428769
47,4,281.468745
47,4,281.507723
48,3,281.540703
41,10,281.646642
49,2,281.666631
36,15,281.808549
40,11,281.912489
33,18,282.114373
50,1,282.126365
27,24,282.371225
45,6,282.425194
-81,132,283.621505
46,5,283.66148
37,14,283.778413
46,5,283.823389
28,23,284.036265
40,11,284.131211
50,1,284.14122
45,6,284.207169
43,8,284.284122
43,8,284.361078
46,5,284.407051
-284,335,287.388332
44,7,287.462289
7,44,287.831076
17,34,288.148894
-93,144,289.477128
46,5,289.521103
41,10,289.621046
49,2,289.641033
16,35,290.000827
47,4,290.039804
47,4,290.082779
46,5,290.130752
40,11,290.224697
50,1,290.233692
27,24,290.448567
47,4,290.48255
30,21,290.650452
2,49,291.072209
47,4,291.107188
10,41,291.456989
36,15,291.600904
43,8,291.670864
50,1,291.681857
45,6,291.734826
46,5,291.779801
48,3,291.810782
26,25,292.018663
49,2,292.036652
28,23,292.227542
-117,168,293.660717
46,5,293.702691
47,4,293.737673
46,5,293.782646
-133,184,295.407709
45,6,295.45768
48,3,295.482666
44,7,295.545631
49,2,295.565634
50,1,295.575628
47,4,295.610592
44,7,295.66956
46,5,295.713533
-513,564,300.607711
49,2,300.624702
44,7,300.682669
24,27,300.915535
21,30,301.166392
47,4,301.20037
34,17,301.344289
41,10,301.428239
42,9,301.503196
45,6,301.553167
50,1,301.563161
49,2,301.581151
47,4,301.620128
47,4,301.656107
39,12,301.751053
34,17,301.895972
47,4,301.931948
44,7,301.993913
34,17,302.13683
44,7,302.197795
48,3,302.226779
46,5,302.272752
50,1,302.281747
39,12,302.386687
43,8,302.473636
50,1,302.48463
40,11,302.59557
47,4,302.640539
32,19,302.810441
48,3,302.837427
40,11,302.933372
43,8,303.003331
46,5,303.046307
49,2,303.066294
42,9,303.14325
49,2,303.160241
47,4,303.193222
50,1,303.203215
50,1,303.21221
47,4,303.24919
24,27,303.479056
32,19,303.64596
42,9,303.719929
45,6,303.771888
43,8,303.842846
44,7,303.906811
46,5,303.953782
44,7,304.026741
50,1,304.038735
49,2,304.059722
30,21,304.25261
44,7,304.314574
47,4,304.347556
43,8,304.418515
44,7,304.476492
46,5,304.519472
46,5,304.56743
26,25,304.789316
44,7,304.855263
37,14,304.984188
42,9,305.066142
44,7,305.128107
38,13,305.246039
48,3,305.274021
32,19,305.441926
-130,181,307.757592
48,3,307.798566
50,1,307.809561
44,7,307.884517
48,3,307.9175
47,4,307.962471
43,8,308.044425
